30, // 敵データの数です。この行から下に4行はパラメータの説明がかかれており、そこから下に左の数字の分だけ敵のデータが書かれていないと読み込めません。左の数字のあとにあるコンマは消さないでください。パラメータ同士の間に全角スペースは使用しないでください。
// 色番号：L_BLACK = 0, L_BLUE = 1, L_GREEN =  2, L_CYAN =  3, L_RED =  4, L_PURPLE =  5, L_YELLOW =  6, L_WHITE =  7,
//         H_BLACK = 8, H_BLUE = 9, H_GREEN = 10, H_CYAN = 11, H_RED = 12, H_PURPLE = 13, H_YELLOW = 14, H_WHITE = 15,
// 行動タイプ：0->巡回、2->徘徊　逃走フラグ：1->逃げる、0->逃げない
// 番号 名前 記号     色番号   HP   EXP  STR DEF  行動回数 TYPE ISTIMID 索敵距離
 0, モグラちゃん,     N,   5,   5,    3,   2,  0,  1, 0, 1,  2, 
 1, スライム,         H,  10,   5,    5,   2,  1,  1, 0, 1,  2, 
 2, 石食い小犀,       #,   7,   5,   10,   3,  2,  1, 0, 0,  5, 
 3, 走る人参,         V,   4,   7,    8,   2,  1,  1, 0, 0, 10, 
 4, ブッチョス,       B,  13,  10,   12,   3,  1,  1, 0, 0,  7, 
 5, 転がるカボチャ,   Q,  14,  18,   45,   7,  1,  1, 2, 0,  2, 
 6, 十年亀,           L,   3,  25,   75,   3,  3,  1, 0, 0,  5, 
 7, 化け標識,         ?,   9,  16,   35,   5,  1,  1, 0, 0,  2, 
 8, オオトカゲ,       C,   9,  25,   35,   4,  2,  1, 0, 0,  5, 
 9, さまようホネ,     O,  12,   8,   30,   3,  0,  2, 0, 0,  7, 
10, モグラドン,       M,   9,  25,   50,   3,  1,  1, 0, 0,  3, 
11, アシッドスライム, F,   9,  30,   65,   5,  1,  1, 0, 0,  4, 
12, 鉄食い犀,         Y,   9,  40,   95,   6,  4,  1, 0, 0,  5, 
13, ドリル大根,       J,   9,  35,   75,   3,  1,  1, 0, 0,  5, 
14, リバウンドス,     R,  13,  25,  100,   4,  2,  1, 0, 0,  7, 
15, ドデカボチャ,     P,  14,  25,  225,   7,  1,  2, 2, 0,  2, 
16, 千年亀,           T,   9,  30,  500,   4,  5,  1, 0, 0,  5,
17, アイテム変化,     I,   9,  15,  175,   6,  1,  1, 0, 0,  2, 
18, 下り飛竜,         U,   9,  30,  350,   8,  2,  1, 0, 0,  5, 
19, 狂乱骸骨,         &,  12,  20,  275,   5,  0,  3, 0, 0,  8, 
20, モグラゲドン,     X,   9,  55,  250,   9,  3,  1, 0, 0,  5, 
21, マグマスライム,   E,   9,  77,  500,   9,  2,  1, 0, 0,  5, 
22, 鋼鉄喰い犀,       W,   3,  80,  450,   8,  6,  1, 0, 0,  5, 
23, ヒュージゴボウ,   !,  13,  60,  350,   6,  3,  1, 0, 0,  7, 
24, ライザップス,     G,   3,  65,  460,   8,  5,  1, 0, 1,  7, 
25, キングカボチャ,   K,  14,  60,  550,  14,  3,  3, 2, 0,  2, 
26, 万年亀,           A,   3, 100, 1000,   8,  8,  1, 0, 0,  5, 
27, 模写階段,         S,   3,  55,  475,  13,  3,  1, 0, 0,  2, 
28, 昇り龍,           Z,   3,  95,  750,  14,  4,  1, 0, 0,  8, 
29, 死神髑髏,         D,   3,  50,  500,  10,  1,  4, 0, 0, 10, 






